autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Neroplus IT,Web Scraping Tutorial - HTML Tables - Python & Selenium [+ Excel File],https://www.youtube.com/watch?v=JLDbAx6LAdo,Web Scraping & Automation (Web Scraping & Automation),40879,2021-08-10,21:23,1283,-76.28,-48.76,-49.82,,
Great Learning,TensorFlow 2.0 Tutorial - Full Course | TensorFlow Tutorial | Deep Learning | Great Learning,https://www.youtube.com/watch?v=OMIDAsNjk64,"Beginner Guides (Beginner Guides, Machine Learning)",40594,2021-08-10,02:05:13,7513,-34.58,97.49,-49.35,,
evlearn,Python Full Course for Beginners - Complete Programming Tutorial 2025,https://www.youtube.com/watch?v=YvYKcGAfJvs,Beginner Guides (Beginner Guides),40290,2025-11-12,11:54:14,42854,16.87,-35.49,-36.43,,
MIT OpenCourseWare,PyTorch Tutorial,https://www.youtube.com/watch?v=o5gPABcGZwc,Machine Learning (Machine Learning),39797,2026-03-12,28:59,1739,2.21,63.04,-81.0,,
NeuralNine,Stock Price Prediction in Python with PyTorch - Full Tutorial,https://www.youtube.com/watch?v=IJ50ew8wi-0,Machine Learning (Machine Learning),39357,2025-08-09,40:26,2426,8.5,42.79,-96.9,,
Intellipaat,Python Tutorial for Beginners | Python Full Course From Scratch | Python Programming | Intellipaat,https://www.youtube.com/watch?v=EpJWGs_KY9Y,Beginner Guides (Beginner Guides),38767,2019-08-11,01:57:21,7041,1.44,-19.47,-10.04,,
Underfitted,"How to run PyTorch, TensorFlow, and JAX on your Mac (Apple Silicon)",https://www.youtube.com/watch?v=cGEIEnekmRM,Machine Learning (Machine Learning),37171,2024-08-09,11:56,716,26.48,59.26,-95.16,,
ProgrammingKnowledge,Python OOP Tutorials | Composition and Aggregation,https://www.youtube.com/watch?v=mPFc3JHLnz8,OOP Programming (OOP Programming),36466,2020-08-10,11:54,714,19.07,-26.8,98.7,,
Krish Naik Hindi,"Tutorial 17-Introduction To OOPS, Classes, Constructors,Methods|Python In Hindi|Krish Naik",https://www.youtube.com/watch?v=KeggonclRK8,"Beginner Guides (Beginner Guides, OOP Programming)",35865,2022-08-10,18:44,1124,-16.09,-95.76,50.12,,
NeuralNine,PyTorch Crash Course:  Deep Learning in Python,https://www.youtube.com/watch?v=uq7sbUlIDR8,"Beginner Guides (Beginner Guides, Machine Learning)",35126,2026-03-12,32:30,1950,-47.16,90.34,-26.78,,
Internet Made Coder,3.5 Hours of Python Automation Projects - From Beginner to Advanced,https://www.youtube.com/watch?v=916TXUN3nPU,"Beginner Guides (Beginner Guides, Web Scraping & Automation)",35090,2025-08-09,03:34:45,12885,-12.52,-118.58,-43.69,,
